word|punctuation_before|pause_before|pause_before_norm|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
so|.|0.0|0.0|1.2054|4.1112|7.6699|1.188|-1.881|24.6655|25.0364|10.1213|-0.864
all||0.2395|0.0326|3.6925|3.8872|5.2938|1.2003|6.7963|24.4049|27.7213|4.5176|-0.7022
of||0.0|0.0|1.6366|1.9067|4.4972|0.6223|3.1823|12.9584|24.4049|4.9021|1.1287
those||0.0898|-0.2454|-1.9307|2.5871|5.1726|0.6825|0.0645|22.1714|22.5216|6.522|-0.8924
colored||0.0|0.0|-2.3386|9.1781|9.1781|2.6085|-1.4706|20.1766|22.6428|5.778|-0.5577
lines||0.1995|-0.0417|-13.746|6.0748|19.2028|1.9803|0.1571|20.8131|22.6437|5.3831|-0.9724
correspond||0.1995|-0.0417|0.2253|3.6304|19.7569|0.8118|-0.4233|21.7272|23.029|6.8122|-0.4487
to||0.0|0.0|-1.2633|4.6758|6.5065|1.5666|-5.6174|15.6717|21.7272|6.0597|-0.031
bunches||0.0898|-0.2454|2.5374|11.1896|11.1896|2.0998|1.9238|20.6688|23.1481|5.6963|-0.9252
of||0.0|0.0|0.1989|2.8912|11.1896|0.9451|0.2116|15.7072|20.6688|5.4649|0.6797
axons||0.0|0.0|1.128|6.6508|6.6508|1.3822|-5.2932|20.204|21.8032|5.4918|-0.8015
the|,|0.3193|0.1809|8.7795|2.7502|12.2333|1.0061|0.9779|9.1095|20.204|3.5016|1.1287
fibers||0.0|0.0|2.6701|10.2951|13.2184|2.2514|-1.3104|25.0298|25.0298|8.9723|-0.7365
that||0.0|0.0|-1.4388|1.0251|10.2951|0.3258|-1.144|15.5788|25.0298|5.628|-0.1037
join||0.0798|-0.264|-0.8938|3.8133|3.8133|1.0204|0.6878|20.8708|20.8708|4.4971|-0.901
cell||0.0|0.0|0.4985|5.0933|5.6844|1.4605|-1.2186|19.6129|22.0373|7.8178|-0.6639
bodies||0.0|0.0|-3.3902|5.3134|9.2729|1.2465|-0.2278|12.5496|19.6129|3.7333|-0.9214
to||0.3991|0.3291|1.8862|15.7149|16.3565|4.808|-4.6937|25.6011|25.6011|7.1285|-1.112
synapses||0.0|0.0|0.0|0.0|15.7149|0.0|0.0|0.0|25.6011|0.0|0.0
