word|punctuation_before|pause_before|pause_before_norm|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
cassette|.|0.2993|-0.1315|-0.3345|4.6901|13.6701|1.2651|-0.091|24.0183|24.9512|7.2366|-0.5501
tapes||0.0|0.0|-4.1877|4.4477|7.3866|1.4511|-2.4077|17.8901|24.0183|5.7853|-0.8147
video|,|0.0|0.0|-1.4546|4.2263|5.4827|1.2872|7.8871|17.6366|23.1262|5.339|-0.0386
cassette||0.0|0.0|-2.4921|2.4584|4.2263|0.5947|-1.1063|19.7974|23.2929|5.3344|-0.3528
recorders||0.0|0.0|-4.9619|1.7081|4.3692|0.5834|0.0685|16.7433|19.7974|5.594|0.1332
even|,|0.0|0.0|8.3707|8.3326|16.5888|2.3037|6.3125|13.362|21.3982|3.4977|-0.0878
the||0.0|0.0|7.8702|0.6936|8.3326|0.244|6.2148|5.7903|13.362|2.0905|1.6782
humble||0.0|0.0|4.9668|4.7409|5.52|0.9972|3.1489|24.8308|24.8308|6.4948|-0.8242
xerox||0.6385|0.3313|3.9389|11.3594|11.3594|4.2884|1.4282|23.2357|25.0825|7.8023|-0.7947
machine||0.0|0.0|0.0|0.0|11.3594|0.0|-3.2047|11.8372|23.7918|3.0466|-0.3215
created||0.8281|0.5899|4.0004|7.6346|7.6346|2.4323|3.4899|19.1853|23.6237|4.773|-0.8754
new||0.0|0.0|3.7572|7.9733|7.9733|3.0826|6.1686|6.3791|19.1853|1.2814|-1.001
opportunities||0.0|0.0|11.9063|5.8082|13.9432|1.8365|1.1808|19.4872|20.2932|6.4831|-0.4047
for||0.0|0.0|-0.4929|0.7903|14.6901|0.25|0.3283|10.5466|19.4872|3.8238|0.2732
us||0.0|0.0|-0.663|2.0008|2.0008|0.6747|-0.0824|22.6843|22.6843|7.71|-0.7733
to||0.0|0.0|-0.0533|0.8153|2.2392|0.2806|-4.2625|16.4777|22.877|5.8728|0.0144
behave||0.0|0.0|-2.6557|5.1206|5.7518|1.4126|2.9949|16.9777|20.3747|3.8728|-0.4364
in||0.0|0.0|-2.9825|1.0983|5.1206|0.3762|3.0127|3.8662|16.9777|1.3106|1.2397
ways||0.0|0.0|-4.1606|1.7566|2.7648|0.365|2.6638|16.0719|16.0719|4.7079|-0.9375
that||0.0|0.0|-6.0802|0.8863|3.1505|0.2946|-0.4772|8.4481|16.0719|3.3235|0.4422
astonished||0.0|0.0|-1.8022|7.3533|7.3533|2.0136|-1.2949|24.0969|24.0969|6.381|-0.8728
the||0.3592|-0.0498|-3.284|0.6559|7.3533|0.2332|0.1131|11.8767|24.0969|4.4771|1.6782
media||0.0|0.0|-3.3142|6.7833|6.7833|1.9427|2.4641|15.396|16.4232|4.9642|-0.4364
business||0.0|0.0|0.0|0.0|7.5985|0.0|-3.5996|3.5389|15.396|1.3886|0.2244
